"Feature","Gain","Cover","Frequence"
"857",0.0005305,0.000365842,0.000551948
"1432",0.000530186,0.000367715,0.000663265
"657",0.00052876,0.000158782,0.000609926
"341",0.00052615,0.00153408,0.000628479
"336",0.000525079,0.000556108,0.000619202
"1310",0.000524296,0.000315597,0.000514842
"666",0.000522175,0.000226707,0.000714286
"301",0.000521267,0.00022668,0.000686456
"877",0.000520816,0.000443206,0.000558905
"404",0.000519813,0.000455815,0.000542672
"1474",0.000519519,0.000615857,0.000517161
"372",0.000519151,0.000219588,0.000667904
"555",0.000518576,0.000480184,0.00065167
"786",0.000518299,0.000527812,0.000538033
"1303",0.000516969,0.000408972,0.000612245
"1291",0.000516074,0.000679567,0.000224954
"634",0.000514465,0.000302429,0.000549629
"975",0.000514381,0.000403346,0.000345547
"636",0.000514087,0.000334284,0.000642393
"843",0.000512488,0.000274388,0.000602968
"83",0.000512435,0.00058314,0.000612245
"1421",0.000511541,0.000870575,0.000565863
"822",0.00051145,0.000589222,0.000568182
"397",0.000508085,0.000606924,0.000565863
"1349",0.000507761,0.00028106,0.000563544
"858",0.000504733,0.000366192,0.00062384
"1448",0.000504678,0.00164959,0.000561224
"203",0.000502669,0.000613905,0.000531076
"284",0.000499138,0.000707422,0.000605288
"803",0.00049848,0.000673684,0.000519481
"1312",0.000498255,0.000171236,0.000596011
"844",0.000497774,0.000346501,0.000568182
"246",0.000492894,0.00142819,0.000498609
"1015",0.00049184,0.000332084,0.000635436
"800",0.000491818,0.000364263,0.000589054
"572",0.000490307,0.000474125,0.000422078
"1381",0.000490091,0.00041426,0.000584416
"1409",0.000487574,0.000197539,0.000672542
"598",0.000487081,0.000618225,0.00046846
"212",0.000486915,0.000401283,0.000660946
"1104",0.000485375,0.0003633,0.000637755
"344",0.000481766,0.000181901,0.000570501
"1096",0.000479531,0.000292911,0.000575139
"200",0.000479302,0.000414498,0.00059833
"912",0.000477796,0.000397979,0.000484694
"859",0.000475832,0.000185663,0.000609926
"1091",0.000474189,0.000252406,0.000531076
"919",0.000474138,0.000248983,0.000568182
"616",0.000474119,0.000445302,0.000544991
"783",0.000473983,0.000268981,0.000570501
"70",0.000473759,0.000356211,0.000524119
"465",0.000472978,0.000171728,0.000612245
"1410",0.000472458,0.000193969,0.000600649
"198",0.000472006,0.000452078,0.000538033
"1366",0.000471043,0.000323428,0.000231911
"1017",0.000470205,0.00134234,0.000561224
"876",0.000470065,0.000289302,0.000500928
"1449",0.000468593,0.00302552,0.000482375
"992",0.000467805,0.000433641,0.000484694
"352",0.000467226,0.0011321,0.000568182
"1308",0.000465835,0.000150605,0.000526438
"946",0.000465522,0.000314355,0.000586735
"374",0.000465093,0.000291388,0.000582096
"1401",0.000461201,0.00208055,0.000278293
"234",0.000459319,0.000178638,0.000582096
"47",0.000456949,0.000319394,0.000333952
"304",0.000456673,0.000417509,0.000489332
"658",0.000455045,0.000381225,0.000296846
"600",0.000454041,0.000259359,0.00057282
"944",0.000452704,0.000223439,0.000512523
"669",0.000452556,0.000270312,0.000533395
"913",0.000449756,0.000515847,0.000473098
"930",0.000449331,0.000369897,0.000412801
"1019",0.00044752,0.000443944,0.000496289
"753",0.00044658,0.000375749,0.000424397
"475",0.000445762,0.000187132,0.000551948
"651",0.00044404,0.000162432,0.000575139
"619",0.000440557,0.000220059,0.00057282
"667",0.000439446,0.00019048,0.000528757
"236",0.000437164,0.000692142,0.000477737
"180",0.000436673,0.000210329,0.00062616
"769",0.000436028,0.000239765,0.00059833
"1067",0.000434475,0.000779767,0.000477737
"982",0.000433767,0.000824358,0.000199443
"316",0.000433732,0.000183312,0.000589054
"798",0.000431498,0.000383983,0.00054731
"1444",0.000431154,0.00137336,0.000463822
"1321",0.000427223,0.000239973,0.000524119
"29",0.000425673,0.000174451,0.000535714
"981",0.000423956,0.000647475,0.000197124
"597",0.000421525,0.000229824,0.00041744
"856",0.000419042,0.000423805,0.000466141
"538",0.000418945,0.000318019,0.000459184
"265",0.000417295,0.000150453,0.000593692
"570",0.000415629,0.000135338,0.000563544
"710",0.000415268,0.000171252,0.000510204
"929",0.000414845,0.000243844,0.000431354
"1467",0.000414021,0.000344919,0.000459184
"1034",0.000413236,0.0001841,0.000579777
"635",0.000412591,0.000233869,0.000533395
"343",0.000412433,0.000130262,0.000558905
