"train.auc.mean","train.auc.std","test.auc.mean","test.auc.std"
0.983427,0.000388,0.786632,0.001963
0.983494,0.000376,0.786659,0.001966
0.983553,0.000362,0.786669,0.001974
0.983605,0.000371,0.786683,0.001969
0.983691,0.000393,0.786708,0.001963
0.983781,0.000411,0.786725,0.001952
0.983868,0.000389,0.786736,0.001937
0.983916,0.000403,0.786749,0.001938
0.983981,0.000428,0.786771,0.001952
0.984042,0.000426,0.78679,0.001938
0.984103,0.000435,0.786813,0.001929
0.984171,0.000445,0.786832,0.001933
0.984243,0.000418,0.786838,0.001933
0.984297,0.000414,0.786854,0.001931
0.984379,0.000428,0.786871,0.001921
0.984437,0.00045,0.786887,0.001924
0.984493,0.000471,0.786897,0.001931
0.984577,0.000459,0.786908,0.001933
0.98464,0.000476,0.786919,0.001926
0.984707,0.000484,0.786937,0.001927
0.984784,0.000465,0.786945,0.001926
0.984843,0.000455,0.786959,0.001923
0.984907,0.000448,0.786977,0.001926
0.984952,0.000431,0.78698,0.001933
0.985033,0.000437,0.78699,0.001932
0.985117,0.000422,0.787003,0.001916
0.985186,0.000432,0.787014,0.00192
0.985236,0.000443,0.787022,0.001918
0.985298,0.000446,0.787035,0.001919
0.985379,0.00045,0.787033,0.001935
0.985462,0.000421,0.787059,0.001942
0.985547,0.000421,0.787066,0.001928
0.985615,0.000417,0.78708,0.001938
0.985659,0.000419,0.787087,0.001944
0.985712,0.000407,0.787103,0.001948
0.985783,0.0004,0.787111,0.001957
0.985858,0.000394,0.787127,0.001949
0.985929,0.000386,0.787145,0.001955
0.985991,0.000394,0.787155,0.001956
0.986055,0.000387,0.787158,0.001966
0.986111,0.000389,0.787163,0.001961
0.986191,0.000407,0.787173,0.001973
0.986251,0.000397,0.787192,0.001976
0.986304,0.000397,0.787218,0.001966
0.986348,0.000377,0.787225,0.001959
0.986409,0.000374,0.787227,0.001951
0.986473,0.000366,0.787231,0.001967
0.986532,0.000382,0.787235,0.001964
0.986609,0.000376,0.787242,0.001974
0.986665,0.00037,0.787251,0.001975
0.986718,0.000387,0.787254,0.001974
0.986773,0.000373,0.787269,0.00198
0.986844,0.000373,0.787279,0.001973
0.986903,0.00036,0.787281,0.001979
0.986973,0.000353,0.787292,0.001971
0.987028,0.000341,0.787312,0.00198
0.987086,0.000329,0.78732,0.001969
0.987138,0.000337,0.787313,0.001964
0.987174,0.000343,0.787314,0.001954
0.987223,0.000338,0.787331,0.001964
0.987281,0.000325,0.787339,0.001956
0.987338,0.000306,0.787345,0.001955
